UtilityName,StateName,CountyName,CityName,AvgCustomersTracked,MaxCustomersOut,CustomerHoursOutTotal,CustomerHoursTrackedTotal,RecordYear,RecordMonth
Versant Power,Maine,Hancock,Sunset,17,81,277.04,12648.0,2018,10
Central Maine Power,Maine,York,Limington,1998,3869,50675.19,1486895.97,2020,12
Central Maine Power,Maine,Franklin,Jim Pond,3,6,45.49,2160.0,2020,4
Central Maine Power,Maine,Piscataquis,Sangerville,918,3037,49965.71,661129.11,2020,4
Versant Power,Maine,Hancock,Frenchboro,72,2070,49680.0,51840.0,2017,11
Versant Power,Maine,Penobscot,Dixmont,109,161,98.03,78480.0,2020,6
Central Maine Power,Maine,Cumberland,Durham,2,3,9.42,1488.0,2023,3
Central Maine Power,Maine,Oxford,Brownfield,1046,3290,18967.85,778742.32,2018,1
Central Maine Power,Maine,Piscataquis,Little Squaw,161,172,133.44,120001.5,2019,3
Central Maine Power,Maine,Franklin,Madrid,201,261,255.29,149544.0,2018,8
Versant Power,Maine,Aroostook,Westmanland,117,205,214.54,87048.0,2018,5
Versant Power,Maine,Hancock,Great Pond,65,130,195.89,46800.0,2021,4
Versant Power,Maine,Penobscot,Seboeis Plt,57,102,877.41,42408.0,2022,12
Central Maine Power,Maine,Franklin,Perkins,21,42,128.01,15120.0,2021,11
Versant Power,Maine,Hancock,Aurora,111,191,1186.54,79920.0,2018,11
Versant Power,Maine,Aroostook,Woodland,341,420,205.9,253704.0,2018,8
Versant Power,Maine,Piscataquis,Grand Falls Twp,16,80,387.77,11904.0,2022,12
Central Maine Power,Maine,Franklin,Industry,578,2030,1145.44,430713.31,2021,12
Central Maine Power,Maine,York,South Berwick,3347,4769,8124.2,2490342.74,2018,8
Central Maine Power,Maine,Oxford,Magalloway Plantation,73,146,806.84,50808.0,2020,2
Versant Power,Maine,Penobscot,Argyle Twp,144,280,1306.05,96768.0,2019,2
Versant Power,Maine,Aroostook,Mapleton,1007,2038,10564.07,749461.99,2020,12
Versant Power,Maine,Penobscot,Veazie,974,1133,16316.29,725072.16,2022,12
Central Maine Power,Maine,Kennebec,Wayne,941,2978,38058.17,693129.49,2017,10
Central Maine Power,Maine,Oxford,Auburn,1,3,1.95,719.33,2021,6
Central Maine Power,Maine,Sagadahoc,Phippsburg,2080,2227,7124.02,1547640.55,2022,1
Central Maine Power,Maine,Franklin,Freeman,235,363,2924.86,175197.34,2019,10
Central Maine Power,Maine,Somerset,Rockwood Strip T2r1,3,9,88.45,2232.0,2022,12
Versant Power,Maine,Washington,Centerville,18,36,11.9,12960.0,2018,6
Versant Power,Maine,Washington,Harrington,578,581,530.2,430518.44,2019,3
Central Maine Power,Maine,Lincoln,Damariscotta,1778,2484,12950.98,1323340.08,2019,10
Central Maine Power,Maine,Cumberland,Harpswell,4676,4748,17633.14,3479591.63,2021,5
Versant Power,Maine,Penobscot,Garland,492,890,2266.42,366284.74,2020,10
Versant Power,Maine,Penobscot,Garland,407,1457,15076.93,303514.33,2017,10
Versant Power,Maine,Penobscot,Corinth,1390,3131,59321.2,1000799.96,2017,11
Central Maine Power,Maine,Kennebec,Monmouth,2321,5267,87813.94,1671119.89,2017,11
Versant Power,Maine,Aroostook,T1 R8 Wels,29,55,603.66,21576.0,2021,3
Versant Power,Maine,Aroostook,T1 R8 Wels,28,29,19.41,19441.98,2021,2
Versant Power,Maine,Penobscot,Newburgh,96,2035,28422.03,65729.16,2017,10
Central Maine Power,Maine,Oxford,Magalloway Plantation,76,77,1.14,43893.75,2023,9
Versant Power,Maine,Aroostook,Westfield,263,272,940.38,190046.36,2021,9
Central Maine Power,Maine,York,Eliot,3733,4254,4604.94,2688430.93,2017,9
Versant Power,Maine,Unknown,Cedar Lake Twp,67,134,369.87,49848.0,2018,5
Central Maine Power,Maine,Oxford,Lovell,1399,1509,1055.98,999345.82,2023,6
Versant Power,Maine,Hancock,Brooksville,3,21,41.32,2300.51,2017,8
Versant Power,Maine,Penobscot,Glenburn,2031,2909,22022.83,1462927.17,2019,11
Central Maine Power,Maine,Franklin,Carrabassett Valley,2507,5441,5703.88,1865207.96,2020,10
Central Maine Power,Maine,Oxford,Adamstown,67,135,162.41,49848.0,2019,12
Central Maine Power,Maine,Waldo,Thorndike,417,418,3507.67,300715.14,2020,9
Central Maine Power,Maine,Androscoggin,Turner,2900,4133,69358.33,2157834.77,2017,10
Central Maine Power,Maine,Somerset,Plymouth,2,3,2.34,1488.0,2022,12
Central Maine Power,Maine,Piscataquis,Wellington,183,184,673.4,136379.55,2020,3
Central Maine Power,Maine,York,Berwick,3763,4492,28144.1,2799639.51,2020,12
Versant Power,Maine,Unknown,T1 R9 Wels,334,412,2658.29,248496.0,2018,3
Versant Power,Maine,Aroostook,Madawaska Lake Twp,251,668,1062.55,186744.0,2020,10
Versant Power,Maine,Penobscot,Dexter,42,141,1552.19,31248.0,2020,12
Central Maine Power,Maine,Franklin,Anson,1,3,12.16,704.15,2021,3
Versant Power,Maine,Penobscot,Bradford,650,714,4475.81,483600.0,2019,10
Central Maine Power,Maine,Franklin,Phillips,700,1475,9337.34,470652.71,2022,2
Versant Power,Maine,Penobscot,Cedar Lake Twp,70,140,6.51,51651.81,2023,5
Versant Power,Maine,Washington,Lubec,1250,1284,2580.33,555453.83,2017,8
Central Maine Power,Maine,Cumberland,Sebago,1752,2443,4066.89,1303827.13,2022,3
Versant Power,Maine,Hancock,Harborside,190,198,351.66,141360.0,2017,12
Versant Power,Maine,Washington,Lubec,1273,1274,16302.47,947701.31,2020,8
Versant Power,Maine,Unknown,Tremont,5745,39722,204452.5,4012203.56,2016,12
Versant Power,Maine,Aroostook,New Canada,167,211,146.53,124248.0,2020,7
Versant Power,Maine,Washington,Jonesboro,2,6,26.27,1065.51,2017,8
Versant Power,Maine,Penobscot,Hudson,845,1090,1782.96,1258480.36,2021,10
Versant Power,Maine,Aroostook,Oakfield,325,333,2171.06,217782.41,2023,2
Central Maine Power,Maine,Oxford,Stoneham,380,1148,8320.16,282720.0,2018,1
Central Maine Power,Maine,Franklin,Kingfield,832,894,4808.47,619648.48,2018,5
Versant Power,Maine,Penobscot,Soldiertown Twp T2 R7 Wels,11,31,100.98,8184.0,2021,3
Central Maine Power,Maine,Somerset,Moose River,188,189,0.39,139786.13,2023,8
Central Maine Power,Maine,Oxford,Albany,357,1022,9680.81,257397.99,2019,11
Central Maine Power,Maine,Franklin,Rangeley Plantation,560,884,1514.69,403200.0,2018,4
Versant Power,Maine,Unknown,T22 Md,28,868,20832.0,20832.0,2017,12
Versant Power,Maine,Penobscot,Patten,383,423,1605.07,275760.0,2018,11
Central Maine Power,Maine,Kennebec,Palermo,3,9,41.65,2228.0,2022,12
Central Maine Power,Maine,Kennebec,Albion,1120,3600,27415.78,833346.62,2020,12
Central Maine Power,Maine,Oxford,Waterford,1546,1603,975.66,1095142.57,2023,6
Central Maine Power,Maine,Franklin,Perkins,18,36,98.99,13392.0,2018,7
Central Maine Power,Maine,Oxford,Roxbury,457,611,6219.07,329040.0,2017,11
Eastern Maine Power Cooperative,Maine,Washington,Charlotte,100,119,0.5,73816.79,2021,10
Central Maine Power,Maine,Kennebec,Readfield,1570,3764,50784.8,1130919.25,2020,4
Versant Power,Maine,Hancock,Great Pond,66,133,1901.29,49104.0,2020,12
Versant Power,Maine,Penobscot,Greenfield Twp,157,567,8875.39,113645.33,2020,4
Versant Power,Maine,Penobscot,T3 Indian Purchase Twp,154,196,1665.32,114576.0,2022,12
Versant Power,Maine,Hancock,Prospect Harbor,243,917,4957.51,175608.32,2018,11
Versant Power,Maine,Piscataquis,Sebec,35,39,18.83,24400.83,2017,8
Versant Power,Maine,Piscataquis,T1 R9 Wels,348,1343,15767.18,258912.0,2020,12
Versant Power,Maine,Washington,Trescott Twp,217,432,366.78,156240.0,2020,6
Versant Power,Maine,Aroostook,Littleton,414,856,619.65,244984.04,2023,5
Central Maine Power,Maine,Franklin,Kingfield,834,1093,19260.71,600480.0,2017,11
Versant Power,Maine,Hancock,Tremont,240,643,8970.27,178964.41,2019,10
Central Maine Power,Maine,Lincoln,Bremen,668,1688,26130.03,481063.65,2020,4
Central Maine Power,Maine,Somerset,Solon,695,1555,22970.35,500399.98,2019,11
Central Maine Power,Maine,Franklin,Chesterville,859,2540,24882.46,639095.96,2022,12
Versant Power,Maine,Aroostook,Allagash,275,543,410.99,204600.0,2020,10
Versant Power,Maine,Hancock,Aurora,102,257,1074.3,75888.0,2021,3
Central Maine Power,Maine,Franklin,Chesterville,811,1409,13890.24,583920.0,2017,11
Central Maine Power,Maine,Kennebec,Vienna,467,593,684.82,314122.94,2023,2
Versant Power,Maine,Washington,Columbia,58,217,86.09,39590.55,2018,6
Versant Power,Maine,Aroostook,Sherman,453,457,152.08,337545.47,2019,8
Central Maine Power,Maine,Penobscot,Glenburn,211,396,728.95,151445.91,2023,8
Central Maine Power,Maine,Cumberland,Cape Elizabeth,4301,10165,84322.54,3096719.84,2017,11
Central Maine Power,Maine,Somerset,Athens,612,1410,6036.82,455353.93,2021,3
Central Maine Power,Maine,Lincoln,Westport,628,648,2950.3,467788.14,2020,10
Versant Power,Maine,Penobscot,Lee,593,2372,5169.05,398496.0,2019,2
Versant Power,Maine,Washington,Northfield,208,418,1950.78,155375.98,2018,3
