UtilityName,StateName,CountyName,CityName,AvgCustomersTracked,MaxCustomersOut,CustomerHoursOutTotal,CustomerHoursTrackedTotal,RecordYear,RecordMonth
Central Maine Power,Maine,Somerset,Rockwood Strip T2r1,44,88,66.0,32736.0,2018,7
Central Maine Power,Maine,Waldo,Northport,1395,1754,18555.78,802293.42,2023,9
Versant Power,Maine,Unknown,Littleton,269,273,410.76,182519.09,2016,12
Central Maine Power,Maine,Franklin,Temple,341,690,1144.95,196340.59,2023,9
Central Maine Power,Maine,Piscataquis,Willimantic,279,1219,11244.85,200889.51,2019,11
Versant Power,Maine,Washington,Pleasant Point,49,84,94.34,33696.5,2017,10
Central Maine Power,Maine,Kennebec,Vienna,448,478,653.16,323065.67,2018,9
Central Maine Power,Maine,Penobscot,Troy,1,2,7.17,724.5,2022,12
Versant Power,Maine,Hancock,Eastbrook,500,993,336.8,360000.0,2019,6
Versant Power,Maine,Washington,Trescott Twp,194,195,196.59,144336.0,2018,12
Central Maine Power,Maine,Franklin,Weld,612,1296,2714.72,455328.0,2020,10
Central Maine Power,Maine,Somerset,Jackman,773,1567,12821.17,556983.48,2018,11
Versant Power,Maine,Washington,Lubec,1275,2556,2176.32,918697.31,2020,6
Central Maine Power,Maine,Oxford,Waterford,1470,4060,19753.59,1058967.64,2020,4
Versant Power,Maine,Unknown,Alton,109,1160,8907.33,76674.0,2017,9
Central Maine Power,Maine,Androscoggin,Bowdoin,14,18,13.83,10416.0,2023,1
Central Maine Power,Maine,York,Kennebunk,1669,2050,4873.66,1161623.99,2020,2
Versant Power,Maine,Hancock,Orland,48,84,297.61,35712.0,2020,12
Central Maine Power,Maine,Kennebec,Fayette,924,1425,667.48,687690.66,2019,7
Central Maine Power,Maine,Somerset,Starks,302,620,5075.03,225422.34,2018,10
Central Maine Power,Maine,Piscataquis,Harfords Point,143,144,225.64,106527.69,2022,1
Central Maine Power,Maine,Somerset,Rockwood Strip T2r1,46,92,145.68,34224.0,2020,5
Versant Power,Maine,Washington,Lubec,1293,1633,7232.64,962107.41,2019,10
Versant Power,Maine,Unknown,Somesville,368,442,2450.27,273792.0,2018,3
Central Maine Power,Maine,Lincoln,South Bristol,1145,2721,37350.23,824399.97,2017,11
Eastern Maine Power Cooperative,Maine,Washington,Baring,352,929,0.0,250687.18,2020,6
Versant Power,Maine,Aroostook,Eagle Lake,766,1018,1399.74,551520.0,2018,9
Versant Power,Maine,Piscataquis,T4 R9 Nwp,3,6,12.02,2232.0,2020,8
Central Maine Power,Maine,Somerset,New Portland,657,701,1715.47,489334.65,2020,3
Versant Power,Maine,Penobscot,Glenburn,2056,2274,1850.18,1530212.2,2020,7
Versant Power,Maine,Penobscot,Bradford,650,1570,12370.68,467999.99,2019,11
Versant Power,Maine,Penobscot,Glenburn,2083,5779,65660.32,1549964.33,2022,12
Central Maine Power,Maine,Androscoggin,Pownal,30,56,10.99,22320.0,2021,10
Central Maine Power,Maine,York,Alfred,1688,4855,64815.75,1255952.99,2022,12
Central Maine Power,Maine,Oxford,Peru,1034,2083,17510.6,769351.15,2021,3
Central Maine Power,Maine,Piscataquis,Parkman,500,1541,26204.91,372007.45,2020,12
Central Maine Power,Maine,Piscataquis,Little Squaw,150,190,1384.59,112101.3,2020,12
Central Maine Power,Maine,Piscataquis,Greenville,1820,2297,4297.34,1310783.07,2020,4
Versant Power,Maine,Piscataquis,Medford,100,108,366.0,4716.83,2017,9
Versant Power,Maine,Aroostook,Benedicta Twp,189,291,747.23,141031.17,2021,3
Versant Power,Maine,Washington,Dennysville,187,376,307.2,134640.0,2020,6
Central Maine Power,Maine,Waldo,Knox,407,807,13909.5,302808.0,2017,10
Central Maine Power,Maine,Somerset,Highland Plantation,51,53,779.64,34272.0,2022,2
Versant Power,Maine,Hancock,Otter Creek,41,164,0.0,27629.68,2020,4
Central Maine Power,Maine,Oxford,Magalloway Plantation,71,213,1277.39,48115.69,2019,2
Versant Power,Maine,Hancock,Eastbrook,515,639,4728.92,280126.92,2023,9
Central Maine Power,Maine,Knox,Hope,1027,4061,67819.91,739439.95,2020,4
Central Maine Power,Maine,Franklin,Wyman,172,192,0.39,127473.84,2023,8
Central Maine Power,Maine,Kennebec,Benton,1354,2630,42610.16,1007380.65,2017,10
Versant Power,Maine,Aroostook,Merrill,74,77,15.01,53339.34,2020,4
Central Maine Power,Maine,Oxford,Lovell,1358,3723,63368.1,1010793.81,2020,12
Central Maine Power,Maine,Franklin,Alder Stream,12,24,313.99,8640.0,2018,11
Versant Power,Maine,Aroostook,Madawaska,2503,2866,4347.34,1863091.7,2020,10
Versant Power,Maine,Penobscot,Corinth,1391,2144,18973.93,1001519.93,2019,11
Versant Power,Maine,Unknown,Great Cranberry Island,192,193,1224.79,142940.83,2018,10
Central Maine Power,Maine,Oxford,Magalloway Plantation,75,150,251.1,55800.0,2021,5
Central Maine Power,Maine,Penobscot,Levant,1322,1330,3115.69,888430.13,2019,2
Central Maine Power,Maine,Lincoln,South Bristol,1179,1189,2514.73,792548.96,2019,2
Central Maine Power,Maine,Waldo,Liberty,787,2323,32978.77,586019.9,2017,10
Central Maine Power,Maine,Somerset,Concord,128,1062,22844.83,92160.0,2017,11
Versant Power,Maine,Aroostook,Washburn,844,875,441.14,627936.0,2018,5
Versant Power,Maine,Unknown,Lakeview Plantation,291,1402,12334.67,216424.16,2017,10
Central Maine Power,Maine,Kennebec,Vienna,440,913,9156.33,317518.0,2017,11
Central Maine Power,Maine,Somerset,Canaan,1234,1334,1536.89,888996.95,2019,4
Central Maine Power,Maine,Franklin,Weld,606,670,4563.33,451366.66,2018,10
Central Maine Power,Maine,Oxford,Upton,181,184,219.26,135142.01,2020,3
Central Maine Power,Maine,Oxford,Hebron,572,2559,40423.85,425567.99,2022,12
Eastern Maine Power Cooperative,Maine,Penobscot,Unknown,934,2348,4117.17,674714.85,2018,6
Versant Power,Maine,Penobscot,Bradley,771,1338,22600.21,555823.0,2017,11
Central Maine Power,Maine,Cumberland,Limington,2,8,18.92,1211.95,2021,1
Central Maine Power,Maine,Franklin,Freeman,254,410,1409.13,170776.06,2023,2
Central Maine Power,Maine,Lincoln,Jefferson,1799,8987,160106.79,1295279.88,2017,11
Central Maine Power,Maine,Oxford,Hartford,740,1357,1974.27,551126.65,2020,7
Versant Power,Maine,Hancock,Orland,44,126,823.48,31680.0,2019,11
Central Maine Power,Maine,Somerset,Brassua,1,2,2.66,744.0,2022,8
Versant Power,Maine,Aroostook,Van Buren,3,90,2160.0,2160.0,2017,11
Central Maine Power,Maine,Penobscot,Hermon,2941,3009,3051.74,2105550.72,2023,6
Versant Power,Maine,Hancock,Hancock,1771,4954,50608.63,1318153.91,2022,12
Central Maine Power,Maine,Franklin,Coplin Plantation,215,439,1521.57,159960.0,2020,10
Versant Power,Maine,Washington,Dennysville,214,240,249.6,154080.0,2019,11
Central Maine Power,Maine,Lincoln,South Bristol,1165,1189,3197.13,867487.33,2022,1
Versant Power,Maine,Piscataquis,Ebeemee Twp,181,363,286.84,134664.0,2022,7
Versant Power,Maine,Penobscot,Olamon,22,99,1272.9,16137.26,2019,11
Versant Power,Maine,Penobscot,Milford,1567,2075,25568.66,1128771.27,2019,11
Central Maine Power,Maine,Somerset,Johnson Mountain,8,18,44.34,5760.0,2021,4
Versant Power,Maine,Penobscot,Mattamiscontis Twp,28,52,76.77,20160.0,2018,9
Central Maine Power,Maine,Sagadahoc,Arrowsic,310,314,322.51,231326.61,2022,1
Central Maine Power,Maine,Oxford,Lower Cupsuptic,8,13,21.68,6063.9,2020,12
Central Maine Power,Maine,Somerset,Ripley,350,387,1062.21,260539.18,2021,3
Versant Power,Maine,Aroostook,Washburn,862,953,8435.52,513486.36,2022,12
Central Maine Power,Maine,Kennebec,West Gardiner,1938,2643,25572.75,1442190.72,2020,12
Central Maine Power,Maine,Somerset,Tomhegan,240,483,644.53,178560.0,2022,8
Central Maine Power,Maine,Kennebec,AUBURN,1,3,2.17,338.14,2021,6
Central Maine Power,Maine,Piscataquis,Dover-foxcroft,2654,4632,3944.72,1975212.39,2019,3
Central Maine Power,Maine,Kennebec,Mercer,2,4,2.52,1488.0,2021,12
Central Maine Power,Maine,Cumberland,New Gloucester,2990,4016,1505.85,2153325.32,2022,4
Versant Power,Maine,Aroostook,Allagash,274,290,163.84,203856.0,2018,3
Central Maine Power,Maine,Somerset,Mercer,448,1455,23598.27,322560.0,2017,11
Versant Power,Maine,Hancock,Gouldsboro,677,2088,14266.86,487739.07,2018,11
Central Maine Power,Maine,Somerset,Taunton & Raynham Academy Grant,590,1242,1425.13,425506.68,2020,9
Central Maine Power,Maine,Somerset,Pleasant Ridge Plantation,66,1782,41327.15,49723.84,2017,12
Central Maine Power,Maine,Waldo,Knox,416,1258,19712.71,299736.02,2020,4
Versant Power,Maine,Penobscot,Hudson,172,3792,62184.32,247857.16,2017,10
Versant Power,Maine,Hancock,Sunset,17,20,6.65,11832.0,2020,2
Versant Power,Maine,Hancock,Mariaville,442,529,1402.26,328848.0,2022,3
Central Maine Power,Maine,Waldo,Searsmont,873,1175,13173.93,629095.14,2019,11
Central Maine Power,Maine,Knox,Owls Head,1294,2190,30932.82,962856.93,2022,12
Versant Power,Maine,Penobscot,Clifton,569,1924,33213.42,409784.64,2020,4
Central Maine Power,Maine,York,Shapleigh,2361,3470,11717.84,1757250.11,2019,7
Central Maine Power,Maine,Franklin,Anson,1,4,1.17,744.0,2021,12
Central Maine Power,Maine,Cumberland,Sebago,1776,8532,115421.68,1321681.8,2022,12
Central Maine Power,Maine,Kennebec,Vienna,456,1568,29337.88,339422.94,2020,12
Central Maine Power,Maine,York,Acton,2448,8061,82512.95,1821794.68,2020,8
Central Maine Power,Maine,Lincoln,South Bristol,1182,1845,8359.61,879512.95,2022,10
Central Maine Power,Maine,Franklin,New Sharon,823,864,6637.31,592961.95,2020,9
Versant Power,Maine,Washington,Beddington,77,421,2226.67,56168.33,2017,10
Central Maine Power,Maine,Lincoln,Nobleboro,1409,1854,13042.54,1048433.67,2020,10
Versant Power,Maine,Unknown,T19 Md Bpp,40,128,1700.49,29440.49,2018,11
Central Maine Power,Maine,Lincoln,Southport,1158,2327,29228.12,861550.78,2019,10
Versant Power,Maine,Aroostook,T16 R5 Wels,31,92,688.46,23064.0,2020,10
Versant Power,Maine,Aroostook,Eagle Lake,751,1219,1091.93,559026.99,2021,3
Versant Power,Maine,Penobscot,T3 Indian Purchase Twp,154,257,0.46,110399.6,2023,6
Central Maine Power,Maine,Lincoln,Hibberts Gore,1,2,1.33,744.0,2017,12
Central Maine Power,Maine,Penobscot,Kenduskeag,131,629,11733.6,94320.0,2020,4
Central Maine Power,Maine,Knox,Friendship,965,1009,7640.89,694983.33,2019,11
Central Maine Power,Maine,York,Limerick,1781,2433,41872.8,1282319.97,2017,11
Eastern Maine Power Cooperative,Maine,Washington,Perry,285,301,389.65,212040.0,2022,3
Versant Power,Maine,Penobscot,Medway,721,790,864.49,519555.66,2017,11
Central Maine Power,Maine,Piscataquis,Elliottsville,96,288,304.08,71424.0,2018,10
Central Maine Power,Maine,Kennebec,Benton,1394,2049,3436.6,1037744.25,2023,3
Versant Power,Maine,Hancock,Brooklin,949,2460,31474.97,706055.98,2019,10
Versant Power,Maine,Washington,Edmunds Twp,170,409,661.57,122916.18,2022,4
Versant Power,Maine,Hancock,Eastbrook,500,520,2091.51,372000.0,2018,10
Eastern Maine Power Cooperative,Maine,Aroostook,Cary,9,14,34.2,6047.06,2022,2
Central Maine Power,Maine,Hancock,Orland,1587,1691,1963.54,1181221.58,2022,7
Versant Power,Maine,Unknown,T4 Indian Purchase,17,25,46.27,12956.97,2019,1
Central Maine Power,Maine,Hancock,Bucksport,2666,2911,660.86,1855974.34,2020,2
Central Maine Power,Maine,Oxford,Lovell,1348,3738,19921.77,1003451.18,2021,3
Central Maine Power,Maine,Somerset,Starks,303,304,807.78,226071.32,2018,5
Versant Power,Maine,Unknown,T1 R8 Wels,20,40,96.68,14880.0,2018,5
Central Maine Power,Maine,Waldo,Unity,1108,1536,22380.36,797759.97,2017,11
Central Maine Power,Maine,Oxford,Stow,261,267,1.61,186555.4,2023,6
Central Maine Power,Maine,Waldo,Stockton Springs,1099,4433,46029.49,791279.97,2017,11
Central Maine Power,Maine,Cumberland,Harrison,1989,3782,18160.48,1432079.97,2017,11
Versant Power,Maine,Aroostook,Sinclair Twp,349,619,865.72,259808.81,2020,12
Central Maine Power,Maine,Somerset,Athens,580,1096,7125.96,431763.35,2018,10
Central Maine Power,Maine,Waldo,Swanville,960,995,1703.79,691864.98,2022,9
Versant Power,Maine,Penobscot,Holden,134,366,755.02,96480.0,2017,9
Versant Power,Maine,Piscataquis,T1 R9 Wels,353,746,5031.3,263046.98,2022,12
Central Maine Power,Maine,Penobscot,Dixmont,516,1095,9687.8,384164.09,2020,12
Versant Power,Maine,Washington,Berry Twp,5,6,7.66,3720.0,2020,12
Versant Power,Maine,Penobscot,Bradford,650,684,200.59,483600.0,2019,3
Central Maine Power,Maine,Cumberland,Gray,4671,8548,122116.79,3454433.2,2017,10
Central Maine Power,Maine,Somerset,Smithfield,798,2538,33546.15,574559.99,2017,11
Versant Power,Maine,Aroostook,Saint Francis,309,353,346.81,222665.65,2021,4
Central Maine Power,Maine,Kennebec,Litchfield,2192,3106,41416.99,1630932.36,2020,12
Eastern Maine Power Cooperative,Maine,Penobscot,Unknown,952,1539,5013.48,708287.96,2018,10
Central Maine Power,Maine,Piscataquis,Lily Bay,113,201,570.32,64588.92,2023,9
Versant Power,Maine,Aroostook,Masardis,198,538,3486.82,147815.42,2022,12
Central Maine Power,Maine,Piscataquis,Frenchtown,114,115,80.35,82080.0,2021,11
Versant Power,Maine,Washington,Milbridge,184,267,356.85,122780.39,2018,2
Versant Power,Maine,Unknown,Lakeview Plantation,276,284,378.67,199519.0,2017,9
Central Maine Power,Maine,Lincoln,Dresden,943,2422,16112.43,701767.99,2019,10
Central Maine Power,Maine,Kennebec,West Gardiner,1892,1973,17962.8,1362718.08,2019,11
Central Maine Power,Maine,Oxford,Milton,74,775,18600.0,55056.0,2017,12
Central Maine Power,Maine,Lincoln,South Bristol,1153,1211,6218.91,858191.65,2018,10
Central Maine Power,Maine,Franklin,Kingfield,834,851,18163.04,620744.33,2017,12
Versant Power,Maine,Unknown,T4 Indian Purchase,3668,23513,58212.49,2705234.0,2016,12
Versant Power,Maine,Washington,Milbridge,67,159,242.0,48127.0,2017,9
Central Maine Power,Maine,Oxford,Fryeburg,2352,9367,159178.79,1750313.61,2022,12
Versant Power,Maine,Penobscot,Alton,416,464,586.06,309504.0,2018,3
Eastern Maine Power Cooperative,Maine,Washington,Princeton,51,304,117.63,35788.16,2021,10
Eastern Maine Power Cooperative,Maine,Washington,Calais,2963,5927,64172.44,2203516.72,2023,5
Central Maine Power,Maine,Knox,St George,2325,2690,49341.66,1673999.99,2017,11
Versant Power,Maine,Unknown,T4 Indian Purchase,15,35,41.16,11123.33,2018,9
Versant Power,Maine,Penobscot,Levant,24,42,59.62,17856.0,2019,7
Versant Power,Maine,Washington,Dennysville,193,328,352.52,138960.0,2021,11
Central Maine Power,Maine,Kennebec,Sidney,2190,2970,47851.16,1576799.95,2017,11
Versant Power,Maine,Unknown,Mariaville,318,394,952.57,56257.06,2016,11
Versant Power,Maine,Unknown,Oxbow Plantation,71,282,890.0,52824.0,2017,10
Central Maine Power,Maine,Oxford,Mason,50,71,451.78,36000.0,2018,11
Versant Power,Maine,Hancock,Bar Harbor,1812,2134,1029.85,1362041.5,2019,8
Central Maine Power,Maine,Cumberland,Limington,3,9,136.97,2232.0,2022,12
Central Maine Power,Maine,York,Eliot,3835,4469,46984.78,2853735.63,2019,10
Versant Power,Maine,Unknown,T4 Indian Purchase,16,19,29.66,11904.0,2018,10
Versant Power,Maine,Aroostook,New Sweden,326,352,174.66,242266.99,2023,7
Versant Power,Maine,Unknown,"Squa Pan T11, R4,7,8",158,1510,1759.68,93507.59,2017,6
Central Maine Power,Maine,Franklin,Carthage,343,420,505.85,255656.32,2020,7
Central Maine Power,Maine,Franklin,Anson,1,2,2.04,741.39,2023,3
Central Maine Power,Maine,Knox,Hope,1025,1292,10609.14,762718.34,2020,12
Central Maine Power,Maine,Waldo,Winterport,1545,3860,70355.42,1112463.1,2020,4
Central Maine Power,Maine,Waldo,Searsmont,872,997,1300.46,627840.0,2020,6
Versant Power,Maine,Penobscot,Soldiertown Twp T2 R7 Wels,11,44,51.36,8184.0,2022,5
Central Maine Power,Maine,Oxford,Roxbury,463,810,9471.27,333360.0,2020,4
Central Maine Power,Maine,Somerset,Highland Plantation,50,100,175.26,37668.34,2022,7
Versant Power,Maine,Aroostook,Westmanland,117,366,2003.46,84240.0,2018,11
Central Maine Power,Maine,Waldo,Montville,606,1101,10418.9,451323.03,2020,10
Central Maine Power,Maine,Oxford,Stow,251,254,2010.56,186815.38,2021,1
Central Maine Power,Maine,Waldo,Liberty,808,3609,61977.41,581864.11,2020,4
Central Maine Power,Maine,Oxford,Stow,253,530,1944.29,182607.72,2021,9
Central Maine Power,Maine,Piscataquis,Sangerville,919,1103,1755.85,684223.52,2020,5
Central Maine Power,Maine,Somerset,West Forks Plantation,116,230,746.8,86304.0,2018,3
Central Maine Power,Maine,Piscataquis,Big Squaw,65,113,313.33,46800.0,2018,9
Central Maine Power,Maine,Franklin,Avon,307,930,16500.18,221543.49,2020,4
Versant Power,Maine,Unknown,Larrabee,17,34,145.28,12240.0,2019,9
Central Maine Power,Maine,Cumberland,Baldwin,875,1141,2488.03,651716.85,2021,5
Versant Power,Maine,Penobscot,Exeter,510,711,8416.16,379741.95,2020,12
Central Maine Power,Maine,Oxford,Mexico,1504,1509,2119.71,1119352.82,2018,7
Central Maine Power,Maine,Piscataquis,Cove Point,7,22,265.44,5040.0,2020,4
Central Maine Power,Maine,Franklin,Weld,619,996,6408.11,416313.98,2022,2
Central Maine Power,Maine,Piscataquis,Harfords Point,139,279,443.84,103416.0,2020,5
Versant Power,Maine,Aroostook,Allagash,277,547,3766.63,199440.0,2019,4
Central Maine Power,Maine,Somerset,Taunton & Raynham Academy Grant,584,2369,1562.45,434948.67,2018,5
Versant Power,Maine,Unknown,Dover-foxcroft,11,15,165.34,8184.0,2018,10
Versant Power,Maine,Piscataquis,Brownville,567,1615,5238.77,408790.6,2019,11
Versant Power,Maine,Penobscot,Millinocket,2713,4426,58875.45,1953872.67,2020,4
Versant Power,Maine,Washington,Cherryfield,555,707,1060.76,394423.83,2017,9
Versant Power,Maine,Washington,Pleasant Point,331,406,3922.44,188800.07,2023,9
Central Maine Power,Maine,Androscoggin,Durham,1782,7263,83559.81,1283039.9,2017,11
Central Maine Power,Maine,Lincoln,Dresden,916,4341,80227.66,659519.99,2017,11
Central Maine Power,Maine,Kennebec,Rome,1140,1338,1196.81,848329.61,2021,8
Central Maine Power,Maine,Piscataquis,Cove Point,7,217,5208.0,5208.0,2017,12
Central Maine Power,Maine,Hancock,Castine,786,833,974.55,584953.94,2022,7
Versant Power,Maine,Washington,Columbia Falls,417,542,1260.9,300240.0,2018,11
Central Maine Power,Maine,Lincoln,Waldoboro,3147,6248,3816.57,2143388.28,2023,7
Versant Power,Maine,Penobscot,Dexter,42,83,90.99,31248.0,2020,1
Versant Power,Maine,Washington,Columbia,284,428,4157.99,159388.08,2023,9
Versant Power,Maine,Hancock,Surry,1269,1312,405.02,944549.66,2022,10
Central Maine Power,Maine,Franklin,Canton,1,2,3.65,744.0,2021,8
Central Maine Power,Maine,Piscataquis,Frenchtown,108,109,146.2,81043.66,2019,8
Versant Power,Maine,Aroostook,T16 R5 Wels,31,62,85.22,23064.0,2020,12
Central Maine Power,Maine,Lincoln,Bristol,3004,6006,22062.99,2235482.29,2019,5
Versant Power,Maine,Washington,Beals,397,668,4504.75,295368.0,2018,3
Central Maine Power,Maine,Oxford,Mechanic Falls,6,12,9.97,4271.06,2022,12
Central Maine Power,Maine,Somerset,Parlin Pond,27,55,265.06,20088.0,2022,12
Central Maine Power,Maine,Oxford,Roxbury,456,457,4333.84,339645.17,2017,10
Versant Power,Maine,Penobscot,Greenfield Twp,142,162,33.3,105648.0,2019,3
Central Maine Power,Maine,Somerset,Misery Gore,9,28,268.34,6737.33,2017,10
Versant Power,Maine,Aroostook,Masardis,196,290,1145.74,145824.0,2022,5
Versant Power,Maine,Unknown,T7 Sd,7,11,2.17,5542.59,2019,12
Central Maine Power,Maine,Waldo,Freedom,386,1054,14404.83,277920.0,2017,11
Versant Power,Maine,Piscataquis,Medford,154,395,1907.05,114576.0,2018,10
Central Maine Power,Maine,Knox,Hope,1024,1060,8137.36,737504.98,2020,9
Versant Power,Maine,Penobscot,Carmel,52,104,964.23,37440.0,2019,11
Central Maine Power,Maine,Franklin,Sandy River Plantation,384,385,64.6,285696.0,2019,12
Central Maine Power,Maine,Franklin,Wyman,167,673,587.55,124837.98,2021,12
Central Maine Power,Maine,Oxford,Lower Cupsuptic,8,9,36.82,5952.0,2018,5
Central Maine Power,Maine,Kennebec,Readfield,1575,3035,16210.46,1172423.37,2020,8
Versant Power,Maine,Hancock,Lamoine,1146,2356,501.4,825955.69,2019,6
Versant Power,Maine,Penobscot,Seboeis Plt,55,218,673.8,40920.0,2018,10
Central Maine Power,Maine,Waldo,Brooks,622,630,1441.16,463378.66,2018,7
Versant Power,Maine,Aroostook,Bridgewater,355,409,1633.03,264120.0,2020,12
Versant Power,Maine,Unknown,"T17, R3, 12",765,3752,90048.0,514080.0,2018,2
Versant Power,Maine,Washington,Beddington,240,243,415.44,178560.0,2018,12
Central Maine Power,Maine,Cumberland,Standish,5089,9752,170076.72,3788224.73,2017,10
Versant Power,Maine,Hancock,Mariaville,432,527,677.06,290583.13,2021,2
Central Maine Power,Maine,Cumberland,North Yarmouth,1844,2288,15089.85,1327704.59,2020,4
Versant Power,Maine,Unknown,Castle Hill,4,5,2.04,952.84,2016,11
Central Maine Power,Maine,Lincoln,Newcastle,1282,5364,63582.71,923253.28,2020,4
Central Maine Power,Maine,Knox,St George,2357,2381,74.65,1697088.96,2019,6
Central Maine Power,Maine,Oxford,Hebron,569,846,2167.23,409818.11,2021,9
Central Maine Power,Maine,Franklin,Weld,621,686,2230.43,462045.15,2021,10
Versant Power,Maine,Hancock,Aurora,102,156,234.57,73440.0,2021,4
Central Maine Power,Maine,Kennebec,Wayne,946,4021,35570.58,681321.64,2020,4
Central Maine Power,Maine,Penobscot,Hermon,2816,2979,33362.1,2095148.63,2020,12
Versant Power,Maine,Aroostook,Masardis,189,304,2588.62,136080.0,2019,11
Versant Power,Maine,Piscataquis,T1 R9 Wels,355,704,420.15,252843.32,2023,6
Central Maine Power,Maine,Cumberland,Naples,3513,12587,87116.55,2529359.69,2017,11
Versant Power,Maine,Hancock,Castine,1,5,64.34,703.84,2022,12
Central Maine Power,Maine,Lincoln,Alna,415,729,3593.27,309105.81,2020,10
Versant Power,Maine,Penobscot,Brewer,5093,8709,86184.97,3667856.3,2020,4
Central Maine Power,Maine,Lincoln,South Bristol,1165,2316,3360.71,867222.15,2020,8
Central Maine Power,Maine,Hancock,Orland,1549,2844,46460.49,1115766.09,2020,4
Central Maine Power,Maine,Hancock,Verona,341,691,5872.61,253896.76,2022,12
Central Maine Power,Maine,Hancock,Penobscot,872,2094,24262.0,648767.96,2022,12
Versant Power,Maine,Penobscot,Holden,1817,5960,88486.69,1308551.3,2020,4
Versant Power,Maine,Unknown,T4 Indian Purchase Twp,46,64,0.34,33001.87,2020,4
Central Maine Power,Maine,Lincoln,Bristol,2995,8556,131770.3,2228477.84,2019,10
Central Maine Power,Maine,Oxford,Buckfield,1093,1179,3957.11,787442.45,2020,11
Central Maine Power,Maine,Lincoln,Bremen,675,676,2227.99,502314.15,2021,10
Central Maine Power,Maine,Piscataquis,Beaver Cove Plantation,258,772,10761.33,191956.67,2017,10
Eastern Maine Power Cooperative,Maine,Washington,Crawford,164,303,80.72,109229.95,2022,2
Central Maine Power,Maine,Cumberland,Freeport,4714,16460,202682.04,3392727.25,2017,11
Versant Power,Maine,Aroostook,Smyrna,90,91,288.6,65060.61,2021,9
Versant Power,Maine,Piscataquis,Brownville,488,756,920.17,354988.84,2017,9
Central Maine Power,Maine,Cumberland,Chebeague Island,583,602,943.29,405768.0,2020,2
Central Maine Power,Maine,Androscoggin,Wales,775,1930,16784.74,576897.97,2022,12
Central Maine Power,Maine,Somerset,Rockwood Strip T2r1,3,6,34.75,2232.0,2023,3
Central Maine Power,Maine,Knox,Friendship,965,967,931.09,695037.02,2020,9
Central Maine Power,Maine,Piscataquis,Harfords Point,140,141,657.14,104727.99,2020,10
Central Maine Power,Maine,Franklin,Phillips,685,693,2131.55,509640.0,2018,5
Central Maine Power,Maine,York,Newfield,1333,1595,614.35,968562.15,2023,7
Versant Power,Maine,Hancock,Stonington,1193,4838,34858.82,859746.76,2020,4
Central Maine Power,Maine,Waldo,Frankfort,686,3134,38755.65,493920.0,2017,11
Central Maine Power,Maine,Oxford,Lower Cupsuptic,13,26,47.66,8736.0,2022,2
Versant Power,Maine,Aroostook,Castle Hill,240,7080,169920.0,172800.0,2017,11
Central Maine Power,Maine,York,Limington,1995,4818,11946.4,1484678.15,2021,1
Central Maine Power,Maine,Franklin,Vienna,1,2,1.9,671.33,2023,2
Versant Power,Maine,Penobscot,East Millinocket,920,933,1382.61,662692.68,2022,11
Versant Power,Maine,Washington,Roque Bluffs,250,252,167.85,180437.15,2019,4
Versant Power,Maine,Aroostook,Presque Isle,2877,3235,33725.33,2072138.94,2018,11
Central Maine Power,Maine,York,Eliot,3789,4564,3283.98,2728283.97,2018,9
Versant Power,Maine,Washington,Cathance Twp,10,18,14.34,7200.0,2020,6
Central Maine Power,Maine,Penobscot,Carmel,1442,1621,1869.34,1073142.48,2021,7
Versant Power,Maine,Penobscot,Woodville,115,116,358.14,85560.0,2018,12
Versant Power,Maine,Hancock,Northeast Harbor,50,1568,27264.77,34475.1,2017,10
Versant Power,Maine,Aroostook,Madawaska Lake Twp,255,506,1093.37,183922.05,2022,11
Versant Power,Maine,Penobscot,Enfield,1049,1655,11276.31,781078.62,2022,12
Central Maine Power,Maine,Lincoln,Hibberts Gore,1,5,64.49,720.0,2020,4
Versant Power,Maine,Aroostook,Washburn,844,1522,10170.97,607680.0,2019,11
Central Maine Power,Maine,Somerset,Moose River,216,432,504.0,160704.0,2020,10
Versant Power,Maine,Piscataquis,Ebeemee Twp,146,354,5228.83,5313.83,2017,10
Central Maine Power,Maine,Kennebec,Rome,1162,2932,34729.22,864746.51,2022,12
Versant Power,Maine,Aroostook,Littleton,393,405,556.34,292554.88,2020,1
Central Maine Power,Maine,Franklin,Coplin Plantation,212,362,1082.43,158064.42,2020,12
Central Maine Power,Maine,York,Acton,2452,4565,12749.63,1825012.42,2021,5
Versant Power,Maine,Unknown,T1 R8 Wels,20,26,37.66,14400.0,2018,6
Central Maine Power,Maine,Somerset,Jackman,831,1343,1869.47,594221.33,2023,8
Versant Power,Maine,Piscataquis,Orneville Twp,126,800,7650.3,71913.34,2017,10
Central Maine Power,Maine,Franklin,Wyman,158,185,395.57,113760.0,2018,9
Versant Power,Maine,Washington,Cutler,449,451,1031.13,323280.0,2022,11
Versant Power,Maine,Penobscot,Enfield,631,1259,12988.7,454319.98,2019,11
Central Maine Power,Maine,Penobscot,Hampden,18,47,790.81,12960.0,2020,4
Central Maine Power,Maine,Knox,Cushing,1027,1164,2145.98,764462.45,2020,7
Versant Power,Maine,Hancock,Stonington,1068,1255,4745.2,773834.5,2017,9
Versant Power,Maine,Hancock,Great Pond,66,394,4752.01,49104.0,2022,12
Versant Power,Maine,Hancock,Tremont,1518,1610,1842.2,1020231.48,2022,2
